Dept_Cd,Department
SAT001,ATHLETICS
ABS001,COLLEGE OF BUSINESS
ACA001,"ACADEMIC AFFAIRS, PROVOST"
UAD001,VP EXTERNAL RELATIONS
AEN001,COE COLLEGE OF ENGINEERING
ASC001,COLLEGE OF SCIENCE-DEAN
BAF001,BUSINESS AFFAIRS
ABS012,COB INFORMATION SYSTEMS
AEN006,COE BIOMEDICAL ENGINEERING
ABS015,COB FINANCE
APP001,COLLEGE OF PUBLIC POLICY
ABS011,COB ACCOUNTING
CTR042,COS CHEMISTRY
ABS014,COB ECONOMICS
SAF001,STUDENT AFFAIRS
ARC001,"COL OF ARCH, CONSTR, PLNG-DEAN"
ABS017,COB MARKETING
RES014,LABORATORY ANIMAL RESOURCE CTR
AEH001,COLLEGE OF EDUC & HUMAN DVLPMT
AVP001,VICE PRVST FOR INTL INITIATIVE
CTR048,COLFA SOCIOLOGY
AGS001,GRADUATE SCHOOL
ASC007,COS PHYSICS & ASTRONOMY
CMS001,COMMUNITY SERVICES
CTR043,COE CIVIL ENGINEERING
STL001,STUDENT LIFE OFFICE
SOS001,ENROLLMENT SERVICES
SAF007,STUDENT HEALTH
ADT001,ACADEMIC FACULTY SUPPORT
BHR001,HUMAN RESOURCE SERVICES
BFC001,FACILITIES ADMINISTRATION
CTR041,INSTITUTE FOR ECONOMIC DVLPMT
AEN003,COE ELECTRICAL ENGINEERING
BFA001,FINANCIAL AFFAIRS
RES001,"RESEARCH, VICE PRESIDENT"
ALB001,LIBRARY
AIE001,INSTITUTIONAL  EFFECTIVENESS
ASC010,COS MATH
APP006,COPP DEMOGRAPHY
AEN004,COE MECHANICAL ENGINEERING
ALF001,COLLEGE OF LIBERAL / FINE ARTS
CTR020,CTR INFRASTR ASSURANCE & SECUR
ASC008,COS BIOLOGY
ABS016,COB MANAGEMENT
ASC009,COS COMPUTER SCIENCE
BUP001,UNIVERSITY POLICE
AHC001,HONORS COLLEGE
AUC001,UNIVERSITY COLLEGE
AIT001,OIT INFORMATION TECHNOLOGY
UAM002,UNIVERSITY COMM AND MKTG
CED002,SMALL BUS DVLPMT CTR-REGNL OFC
PRS002,OFC OF GOVERNMENTAL RELATIONS
ARC002,DEPT OF ARCHITECTURE
ABS018,COB MGMT SCIENCE & STATISTICS
BPC001,PS SUPPORT & SUSTAINMENT CTR
ALF006,COLFA PSYCHOLOGY
BFA010,UNIVERSITY CONTROLLER
AEH012,COEHD HEALTH & KINESIOLOGY
ALF013,COLFA HISTORY
ACA004,VETERAN AND MILITARY AFFAIRS
BFC009,FACILITIES ENGINEERING & PROJ
AEH007,COEHD EDUC LEADERSHIP
BAA002,CAMPUS SERVICES
UDA001,UNIVERSITY DEVELOPMENT
BFC002,FACILITIES PLANNING & DVLPMT
AIT004,OIT INFORMATION SECURITY
SRG001,REGISTRAR
PRS008,CONTEX OFFICE
PRS005,LEGAL AFFAIRS
RES007,COMMERCIAL & INNOVATION
RES002,RESEARCH SUPPORT
UDA002,OPERATIONS & ADVANCMENT SRVC
UAM001,ALUMNI PROGRAMS
ALF004,COLFA ENGLISH
APP003,COPP PUBLIC ADMINISTRATION
CED010,IED SW TRADE ADJSMT ASSIST CTR
CED006,SBDC - SAN ANTONIO
CPT001,INSTITUTE FOR P-20 INITIATIVES
ALF005,COLFA COMMUNICATION
RES004,   RES INTEGRITY _ COMPL
ALF012,COLFA POLITICAL SCI & GEOG
BFA004,FINANCIAL SVCS & UNIV BURSAR
BFA003,BUDGET PLANNING & DEVELOPMENT
SSS001,"ADMINISTRATION & PLANNING, SA"
CTR049,INSTITUTE FOR TEXAN CULTURES
BAA004,PURCHASING & DISTRIBUTION SVCS
AIT005,OIT INFRASTRUCTURE SERVICES
APP004,COPP SOCIAL WORK
ALF002,COLFA ART & ART HISTORY
CTR015,URBAN PLANNING
BFC005,FACILITIES OPERATIONS & MTNC
ASC004,COS GEOLOGICAL SCIENCES
CTR061,OPEN CLOUD INSTITUTE
STL003,SPECIAL EVENTS CENTER
ALF007,COLFA MODERN LANGUAGES
STL009,HOUSING AND RESIDENCE LIFE
CED004,SBDC INTERNATIONAL TRADE CTR
BFA011,ACCOUNTING SERVICES
CED009,IED MINORITY BUS DVLPMT CTR
PRS004,COMPLIANCE
CTR004,CERIIS-CTR EDUC & RES INFO & I
BAA010,ENVIR HEALTH SAFETY & RISKMGMT
AIT011,RESEARCH COMPUTING SUPPORT
AEH011,COEHD INTERDISCIP LEARNING
ALF009,COLFA PHILOSOPHY
AIT008,OIT APPLICATION DVLPMT SUPPORT
CED011,SBDC TECH & COMMERCIALIZATION
SAA001,ADMISSIONS
ALF008,COLFA ANTHROPOLOGY
CTR017,INST DEMOGRAPHIC RES - POTTER
BBC001,BUS AFFAIRS BUSINESS CONTRACTS
AEH009,COEHD COUNSELING
CED007,SBDC-CONTRACT RESEARCH CTR
ADT002,TEACHING AND LEARNING CENTER
BFC004,FACILITIES BUSINESS OPERATIONS
AIT012,OIT-TECHNOLOGY SUPPORT
CED003,SBDC RURAL BUSINESS PROGRAMS
AIT006,OIT LEARNING TECHNOLOGIES
CTR051,ITC ASSISTANT EX DIRECTOR OFC
AUC002,ADVISING ADMINISTRATION
STL010,UNIVERSITY CENTER
SAF009,CAMPUS RECREATION
SAF005,UNIVERSITY CAREER CENTER
AIT003,OIT DISTANCE LEARNING
CTR047,COLFA MUSIC
CTR002,EAST ASIA INSTITUTE
SES001,FINANCIAL AID OFFICE OPERATION
APP005,COPP CRIMINAL JUSTICE
AUC006,TOMAS RIVERA CENTER
AIT010,OIT CUSTOMER & OPS SUPPORT
AIT013,VIDEO PRODUCTION GROUP
AEH006,COEHD BICULTURAL BILINGUAL STD
PRS001,PRESIDENT
RES006,SPONSORED PROJ ADMIN
AEH010,COEHD EDUC PSYCHOLOGY
SAF008,STUDENT DISABILITY SERVICES
RES013,OSPA-COEHD RESEARCH SERVICE
BFA012,DISBURSEMENTS & TRAVEL SVCS
CTR045,COEHD ACAD TEACHER EXCELLENCE
ARC004,DEPT OF CONSTRUCTION
PRS006,EQUAL OPPORTUNITY SERVICES
AVP002,INTERNATIONAL PROGRAMS
CTR058,ITC TEXAS FOLKLIFE FESTIVAL
STL011,CHILD DEVELOPMENT CENTER
STL008,STDNT CONDUCT & COMM STANDARDS
ABS009,COB BUSINESS GRADUATE STUDIES
CTR046,COB PROFESSIONAL EXCELLENCE CT
STL005,STUDENT ACTIVITIES
CTR029,RISE PROGRAMS
AUC004,TESTING CENTER
SAA002,ORIENTATION & TRANSITION PGMS
AUC020,ADVISING ATHLETICS
CTR026,CTR RES & TRAINING IN SCIENCES
CTR057,"RESEARCH, EXHIBITS AND COLLECT"
SAF006,COUNSELING SERVICES
