Job_Cd,Job_Title
10961,HEAD FOOTBALL COACH
10700,DEAN
10318,INTERIM PROVOST & VP ACA AFFAI
10511,"VP, EXTERNAL RELATIONS"
10673,MEN'S BASKETBALL COACH
10508,"VP, BUSINESS AFFAIRS"
10645,"ASSOC VP,DIR INTCOL ATH"
10010,PROFESSOR
10513,"VP, STUDENT AFFAIRS"
10170,OFFENSIVE COORD/ASST FB COACH
10454,DIRECTOR LAB ANIMAL RESOURCES
10769,VICE PROVOST
10509,VICE PROVOST AND DEAN
10173,DEFENSIVE COORD/ASST FB COACH
10230,VP OF COMMUNITY SERVCES
10498,"SR ASSOC VP, DEAN STUDENTS"
10582,SR ASSOC VP STUDENT AFFAIRS
10167,ASSOCIATE HEAD FOOTBALL COACH
10615,ASSOCIATE VP STUDENT SERVICES
10724,SENIOR VICE PROVOST
10409,ASSOC VP HUM RESOURCES
10654,ASSOCIATE VP FACILITIES
10252,SENIOR AVP FOR ECON DEVEL
10515,"ASSOC VP, FINANCIAL AFF"
10490,INTERIM VICE PRESIDENT
10020,ASSOCIATE PROFESSOR
10192,ASSOC DIR SPECIAL PROJ
10668,AVP PBLC STFY & CHF OF POLICE
10368,INTERIM VICE PROVOST OIT
10346,ASSOCIATE VP COMM & MKTG
10714,REG DIR SM BUS DEV CNTR
10030,ASSISTANT PROFESSOR
10702,AST TO THE VP FOR COMMUNITY SV
10403,AVP GOVT RELATIONS & POLICY
10745,"DIR, PSSC & ENT PS PROJECT MGR"
10410,"ASST VP, FIN AFRS, CNTR"
10275,ASSOCIATE PROVOST
10482,"ASST VP FAC, ENG & PRJ"
10181,SR PS FMS APPLICATION SRVS MGR
10532,"Asst VP, Campus Services"
10524,Associate VP
10481,"ASSISTANT VP, FACILITIES"
10971,"ASSISTANT VP, DEVELOPMENT"
10870,"DIR, FAC PLANNING/DEV"
10264,ASSOCIATE VICE PROVOST
10041,PROFESSOR OF RESEARCH
10254,ASST VP HUMAN RESOURCES
10860,INFO SECURITY OFFICER
10629,DIR OF GRADUATE MRKTING & RECR
10985,"Director of Programs, Con Tex"
10179,ASSISTANT FOOTBALL COACH
10420,INTERIM CHIEF LEGAL OFFICER
10676,WOMENS BASKETBALL COACH
10246,DIR COMMERCLZTN & TECH TRNSFR
10171,DIRECTOR RSCH ADV & ENHAN
10053,DISTINGUISHED SENIOR LECTURER
10763,"ASCT DEAN ADMIN OF PRGMS, CRTS"
10322,"ASST VP, OPS & ADVMNT SRVS"
10317,Asst VP of Alumni Relations
10105,DEPUTY ATHLETIC DIRECTR
10901,ASSOCIATE DEAN IT MANAGEMENT
10357,EXEC DIRECTOR OF GIFT PLANNING
19279,"SR INFO SECURITY ANALYST,CIAS"
10716,DIR SW TRADE ADJ CENTER
10888,"LEAD DIRECTOR, SBDC"
10320,ASSTVP P 20 INITIATIVES
10862,INFO SECURITY OPNS OFCR
10235,"SENIOR DIR, RESEARCH ECON DEV"
10379,ASST VP RESEARCH INTEGRITY
10306,CENTER DIRECTOR
10288,ASSISTANT CHIEF POLICE
10535,"DIR, FIN SVCS & BURSAR"
10134,"SR DIR, BUDGET PLNG&DEV"
10371,ASSISTANT DIRECTOR OF LARC
10964,"DIR,STUD AFF BUD/FINANC"
10771,"EXECUTIVE DIRECTOR, ITC"
10760,"ASSISTANT DEAN, FISCAL ADMIN"
10054,SENIOR LECTURER
10806,"DIR, PURCH & DIST SVCS"
10709,ASSOCIATE DEAN
10474,DIR INFRASTRUCTURE SVC
10531,ASSISTANT CONTROLLER
10872,"DIR, OPERATIONS & MAINT"
10417,DIR HR INFO TECH OPERATIONS
10811,"DIR, INSTITUTIONAL PROJECTS"
10810,"Director, Capital Projects"
10166,SPECIAL TEAM COOR/AST FB COACH
10507,EXECUTIVE DIRECTOR DEVELOPMENT
10453,"ASSOCIATE DIRECTOR,TRNG"
10494,"ASSISTANT DIR, OPEN CLOUD INST"
10413,"EX DIR, SPEC EVENTS CTR"
10621,SR DIR FINANCIAL INFO SYSTEMS
10970,"ASC REGIONAL DIRECTOR, SBDC"
10805,PS CAMPUS APPLICATION SVCS MGR
10981,DIRECTOR HOUSING & RES LIFE
10708,"ASSOC REGIONAL DIR,  ISBDC"
19328,PPLSFT TECH AN/RPT ADMI
10568,DIR ACCOUNTING & FIN REPORTING
10861,"DIR, ACADEMIC COMPUTING"
10711,DIR MINORITY BUS ENT CT
10360,1ST ASST BSKTBALL COACH
11756,Sr Physician Assistant
19340,CS ACADEMIC COMPUTING MGR
10465,"DIR, INST COMP & RISK"
